# transit_time, sigma_transit_time, epoch
2454515.525, 0.00043, -1640
2454836.403, 0.00028, -1346
2454840.769, 0.00062, -1342
2455140.91, 0.00042, -1067
2455147.459, 0.00043, -1061
2455163.831, 0.00032, -1046
2455172.561, 0.00036, -1038
2455209.669, 0.00046, -1004
2455210.762, 0.00041, -1003
2455230.407, 0.00019, -985
2455254.419, 0.00043, -963
2455494.53, 0.00072, -743
2455498.896, 0.00079, -739
2455509.81, 0.00037, -729
2455510.902, 0.00031, -728
2455518.541, 0.0004, -721
2455542.552, 0.0004, -699
2455542.553, 0.00028, -699
2455566.564, 0.00028, -677
2455590.576, 0.00068, -655
2455598.216, 0.00035, -648
2455600.398, 0.00029, -646
2455601.49, 0.00024, -645
2455603.673, 0.00029, -643
2455623.318, 0.00039, -625
2455876.528, 0.00027, -393
2455887.442, 0.00021, -383
2455888.533, 0.00027, -382
2455890.716, 0.00024, -380
2455903.814, 0.00032, -368
2455920.184, 0.00031, -353
2455923.459, 0.00022, -350
2455946.378, 0.00018, -329
2455947.47, 0.00017, -328
2455948.561, 0.00033, -327
2455951.835, 0.00011, -324
2455952.927, 0.0001, -323
2455959.475, 0.00017, -317
2455960.567, 0.00032, -316
2455970.389, 0.00039, -307
2455971.481, 0.00035, -306
2455982.395, 0.00034, -296
2455983.487, 0.00035, -295
2455984.578, 0.00032, -294
2455985.67, 0.00042, -293
2455996.584, 0.00037, -283
2456005.315, 0.00037, -275
2456006.406, 0.00031, -274
2456245.427, 0.00033, -55
2456249.794, 0.00039, -51
2456273.805, 0.0003, -29
2456282.536, 0.0003, -21
2456284.719, 0.0003, -19
2456297.816, 0.0003, -7
2456302.182, 0.00046, -3
2456305.455, 0.00024, 0
2456319.644, 0.00038, 13
2456328.376, 0.00027, 21
2456329.467, 0.00029, 22
2456604.505, 0.00021, 274
2456605.596, 0.0003, 275
2456606.688, 0.00033, 276
2456607.779, 0.00071, 277
2456629.607, 0.00019, 297
2456630.699, 0.00043, 298
2456654.71, 0.00034, 320
2456659.076, 0.00034, 324
2456662.35, 0.00019, 327
2456663.441, 0.00019, 328
2456664.533, 0.00031, 329
2456674.356, 0.00028, 338
2456677.63, 0.00032, 341
2456688.544, 0.0004, 351
2456694.002, 0.00029, 356
2456703.824, 0.00029, 365
2456711.464, 0.00025, 372
2456719.104, 0.00034, 379
2456721.287, 0.00034, 381
2456722.378, 0.00046, 382
2456986.502, 0.00043, 624
2457010.513, 0.00039, 646
2457012.696, 0.00049, 648
2457045.438, 0.00046, 678
2457046.53, 0.00049, 679
2457059.627, 0.00035, 691
2457060.718, 0.00036, 692
2457067.267, 0.00022, 698
2457068.358, 0.0002, 699
2457103.284, 0.00031, 731
2457345.579, 0.00042, 953
2457390.327, 0.00033, 994
2457391.418, 0.00033, 995
2457426.343, 0.00055, 1027
2457427.435, 0.00023, 1028
2457451.446, 0.00021, 1050
2457671.913, 0.00035, 1252
2457691.559, 0.00025, 1270
2457703.564, 0.00034, 1281
2457706.838, 0.00037, 1284
2457726.484, 0.00028, 1302
2457727.575, 0.00023, 1303
2457765.775, 0.00028, 1338
2457766.866, 0.00039, 1339
2457772.324, 0.00024, 1344
2457773.415, 0.00022, 1345
2457776.689, 0.00029, 1348
2457781.054, 0.00043, 1352
2457781.056, 0.00036, 1352
2457786.512, 0.00026, 1357
2457788.695, 0.00048, 1359
2457800.7, 0.00032, 1370
2457808.34, 0.0004, 1377
2457809.432, 0.00018, 1378
2457810.523, 0.00021, 1379
2458026.624, 0.00056, 1577
2458050.635, 0.00023, 1599
2458060.459, 0.0003, 1608
2458073.555, 0.00022, 1620
2458074.647, 0.00034, 1621
2458077.921, 0.00028, 1624
2458123.76, 0.00027, 1666
2458124.852, 0.00035, 1667
2458132.491, 0.00031, 1674
2458134.675, 0.00032, 1676
2458136.858, 0.00033, 1678
2458155.41, 0.0005, 1695
2458155.412, 0.00031, 1695
2458156.503, 0.00032, 1696
2458159.778, 0.00091, 1699
2458161.96, 0.00035, 1701
2458161.96, 0.00026, 1701
2458163.051, 0.00021, 1702
2458163.051, 0.00034, 1702
2458166.326, 0.00034, 1705
2458178.331, 0.00038, 1716
2458411.895, 0.0004, 1930
2458471.923, 0.00026, 1985
2458494.843, 0.0003, 2006
2458506.848, 0.00044, 2017
